200	55.0	 0	4503.0
400	106.0	 0	4503.0
600	158.0	 0	4503.0
800	286.25	 0	4503.0
1000	643.5	 0	4503.0
1200	2121.9242424242425	 0	4503.0
1400	2321.681818181818	 0	4503.0
1600	2546.651515151515	 0	4503.0
1800	3979.431530898876	 0	4503.0
2000	3979.431530898876	 0	4503.0
2200	3979.431530898876	 0	4503.0
2400	4312.006965403707	 0	4503.0
2600	4394.442976662459	 0	4503.0
2800	4459.802871952896	 0	4503.0
3000	4461.3127756629065	 0	4503.0
3200	4461.3127756629065	 0	4503.0
3400	4447.670657085918	 0	4503.0
3600	4479.684110738187	 0	4503.0
3800	4492.576852623388	 356	4503.0
4000	4496.01735466248	 356	4503.0
